detail_id,transaction_id,item_id,quantity,payment_date,customer_id
41,T0000000154,S001,1,2019-02-02 11:44:56,PL983707
42,T0000000155,S003,1,2019-02-02 11:51:58,OA393462
43,T0000000156,S005,1,2019-02-02 12:17:44,AS912483
44,T0000000157,S005,1,2019-02-02 12:21:51,IK921715
45,T0000000158,S003,1,2019-02-02 12:41:41,AS820169
46,T0000000159,S001,1,2019-02-02 13:35:40,OA329115
47,T0000000160,S001,2,2019-02-02 15:08:58,HD263348
48,T0000000161,S003,1,2019-02-02 16:56:59,IK429683
49,T0000000162,S001,1,2019-02-02 18:23:27,PL563502
50,T0000000163,S005,1,2019-02-02 19:36:16,OA441851
51,T0000000164,S001,3,2019-02-02 20:20:39,AS820169
52,T0000000165,S003,1,2019-02-02 20:42:12,GD573644
53,T0000000166,S002,1,2019-02-02 21:01:44,PL309891
54,T0000000167,S004,1,2019-02-02 21:20:27,HD194702
55,T0000000168,S005,1,2019-02-02 21:42:23,IK025456
56,T0000000169,S004,1,2019-02-02 23:19:43,IK077913
57,T0000000170,S001,3,2019-02-03 00:46:24,TS918434
58,T0000000171,S003,1,2019-02-03 01:33:24,HD566204
59,T0000000172,S002,1,2019-02-03 02:09:52,HI263602
60,T0000000173,S001,1,2019-02-03 03:18:38,HD995428
61,T0000000174,S005,1,2019-02-03 03:42:58,HD994980
62,T0000000175,S001,2,2019-02-03 06:48:55,TS117409
63,T0000000176,S004,1,2019-02-03 07:27:22,HI196175
64,T0000000177,S001,2,2019-02-03 07:46:23,PL729017
65,T0000000178,S003,1,2019-02-03 08:38:44,GD670693
66,T0000000179,S003,1,2019-02-03 09:27:00,PL381578
67,T0000000180,S003,1,2019-02-03 09:36:26,AS236198
68,T0000000181,S001,1,2019-02-03 11:01:39,GD316957
69,T0000000182,S005,1,2019-02-03 11:02:39,PL407221
70,T0000000183,S001,1,2019-02-03 11:09:40,IK967528
71,T0000000184,S003,1,2019-02-03 11:41:15,AS870817
72,T0000000185,S004,1,2019-02-03 12:09:51,HD678019
73,T0000000186,S003,1,2019-02-03 12:15:59,PL674172
74,T0000000187,S001,1,2019-02-03 13:44:41,GD639619
75,T0000000188,S001,2,2019-02-03 13:45:07,GD730210
76,T0000000189,S002,1,2019-02-03 14:51:30,GD762671
77,T0000000190,S002,1,2019-02-03 16:01:35,IK749861
78,T0000000191,S004,1,2019-02-03 16:23:39,IK629720
79,T0000000192,S004,1,2019-02-03 16:25:37,GD821903
80,T0000000193,S005,1,2019-02-03 16:36:12,OA710903
81,T0000000194,S002,1,2019-02-03 18:03:07,HD699115
82,T0000000194,S005,1,2019-02-03 18:03:07,HD699115
83,T0000000195,S004,1,2019-02-03 18:26:42,GD620805
84,T0000000196,S002,1,2019-02-03 19:13:03,GD735013
85,T0000000197,S005,1,2019-02-03 19:35:54,IK809167
86,T0000000198,S003,1,2019-02-03 19:37:42,HD509520
87,T0000000199,S003,1,2019-02-03 20:02:00,IK921715
88,T0000000200,S001,1,2019-02-03 20:11:37,HD995428
89,T0000000201,S001,1,2019-02-03 20:20:23,PL534171
90,T0000000202,S002,1,2019-02-03 20:48:25,TS963433
91,T0000000203,S005,1,2019-02-03 21:41:24,AS582607
92,T0000000204,S002,2,2019-02-03 23:39:43,PL705609
93,T0000000205,S003,1,2019-02-04 00:01:12,HI145167
94,T0000000206,S005,1,2019-02-04 00:32:47,IK446815
95,T0000000207,S005,1,2019-02-04 00:42:48,TS558026
96,T0000000208,S003,1,2019-02-04 00:53:35,AS359364
97,T0000000208,S001,1,2019-02-04 00:53:35,AS359364
98,T0000000209,S002,2,2019-02-04 01:00:19,TS515806
99,T0000000210,S002,1,2019-02-04 01:37:52,OA138193
100,T0000000211,S005,1,2019-02-04 02:22:39,HI364290
101,T0000000212,S004,1,2019-02-04 03:23:29,HI253328
102,T0000000213,S003,1,2019-02-04 05:42:23,HD163236
103,T0000000214,S002,1,2019-02-04 06:21:34,PL792014
104,T0000000215,S001,1,2019-02-04 07:56:40,PL472728
105,T0000000216,S001,1,2019-02-04 08:15:42,TS931749
106,T0000000217,S003,1,2019-02-04 08:29:15,HD478215
107,T0000000218,S003,1,2019-02-04 08:52:33,AS866028
108,T0000000219,S003,1,2019-02-04 09:20:01,HD819739
109,T0000000219,S002,1,2019-02-04 09:20:01,HD819739
110,T0000000220,S002,1,2019-02-04 10:25:21,TS301045
111,T0000000221,S002,1,2019-02-04 10:38:51,AS345469
112,T0000000222,S004,1,2019-02-04 11:24:30,AS719871
113,T0000000223,S003,1,2019-02-04 11:25:13,HI402688
114,T0000000224,S001,1,2019-02-04 12:16:42,HD768386
115,T0000000225,S002,1,2019-02-04 13:18:52,OA567188
116,T0000000226,S001,1,2019-02-04 13:53:04,GD706415
117,T0000000227,S005,1,2019-02-04 14:50:35,HD068817
118,T0000000228,S002,2,2019-02-04 15:02:46,GD876521
119,T0000000229,S005,1,2019-02-04 15:04:39,HI196175
120,T0000000230,S005,1,2019-02-04 16:05:55,TS179365
121,T0000000231,S004,1,2019-02-04 16:50:28,PL980001
122,T0000000231,S004,1,2019-02-04 16:50:28,PL980001
123,T0000000231,S003,1,2019-02-04 16:50:28,PL980001
124,T0000000232,S001,1,2019-02-04 17:56:50,HD163236
125,T0000000233,S002,2,2019-02-04 19:17:04,HD661448
126,T0000000234,S001,2,2019-02-04 19:42:59,HD693609
127,T0000000235,S001,1,2019-02-04 19:53:45,PL563502
128,T0000000236,S001,3,2019-02-04 20:56:36,AS700935
129,T0000000237,S003,1,2019-02-04 21:54:41,OA075024
130,T0000000238,S003,1,2019-02-04 22:04:29,TS931749
131,T0000000239,S002,1,2019-02-04 23:18:39,GD011312
132,T0000000240,S005,1,2019-02-04 23:31:38,IK688052
133,T0000000241,S002,2,2019-02-05 00:00:59,GD960920
134,T0000000242,S005,1,2019-02-05 00:13:28,HI527630
135,T0000000243,S001,1,2019-02-05 01:18:52,HI013029
136,T0000000244,S005,1,2019-02-05 03:14:19,OA544396
137,T0000000245,S003,1,2019-02-05 03:20:55,OA075024
138,T0000000246,S004,1,2019-02-05 04:01:34,OA383490
139,T0000000247,S002,2,2019-02-05 04:50:25,TS508850
140,T0000000248,S003,1,2019-02-05 04:57:49,AS265381
141,T0000000249,S005,1,2019-02-05 05:20:05,TS357226
142,T0000000250,S004,1,2019-02-05 06:34:55,OA575659
143,T0000000251,S001,1,2019-02-05 06:42:37,PL013000
144,T0000000252,S005,1,2019-02-05 07:01:58,IK779828
145,T0000000253,S001,1,2019-02-05 07:32:19,OA329115
146,T0000000254,S005,1,2019-02-05 07:41:18,PL888478
147,T0000000255,S001,1,2019-02-05 07:44:21,TS511179
148,T0000000256,S003,1,2019-02-05 08:33:11,IK429683
149,T0000000257,S005,1,2019-02-05 08:41:53,OA861572
150,T0000000258,S001,1,2019-02-05 08:51:42,HD566204
151,T0000000259,S003,2,2019-02-05 08:55:00,GD573644
152,T0000000260,S002,1,2019-02-05 08:58:43,OA514351
153,T0000000261,S001,1,2019-02-05 09:00:58,TS816344
154,T0000000262,S001,2,2019-02-05 09:11:43,TS707101
155,T0000000263,S001,1,2019-02-05 09:11:52,HI067846
156,T0000000264,S004,1,2019-02-05 10:15:43,GD246033
157,T0000000265,S001,2,2019-02-05 10:42:31,GD960920
158,T0000000265,S001,2,2019-02-05 10:42:31,GD960920
159,T0000000266,S004,1,2019-02-05 10:48:06,HI910114
160,T0000000267,S001,1,2019-02-05 11:17:29,PL431024
161,T0000000268,S002,2,2019-02-05 11:18:19,PL666694
162,T0000000269,S001,1,2019-02-05 11:31:50,TS893503
163,T0000000270,S005,1,2019-02-05 13:59:44,PL470875
164,T0000000271,S001,1,2019-02-05 14:20:18,AS259792
165,T0000000272,S004,1,2019-02-05 14:52:13,PL186773
166,T0000000273,S001,2,2019-02-05 15:47:15,IK511263
167,T0000000274,S002,1,2019-02-05 16:02:05,GD691243
168,T0000000275,S001,1,2019-02-05 16:44:24,GD883278
169,T0000000276,S005,1,2019-02-05 17:22:26,OA497318
170,T0000000277,S001,1,2019-02-05 18:26:16,GD877461
171,T0000000278,S001,2,2019-02-05 18:48:07,GD624477
172,T0000000279,S003,1,2019-02-05 20:34:22,AS210576
173,T0000000280,S001,1,2019-02-05 20:57:52,HD467920
174,T0000000281,S003,1,2019-02-05 21:30:36,IK397678
175,T0000000282,S001,1,2019-02-05 22:11:24,AS905403
176,T0000000283,S003,1,2019-02-05 22:18:23,HD290947
177,T0000000284,S001,1,2019-02-05 22:19:53,AS844339
178,T0000000285,S002,1,2019-02-06 00:06:19,TS250479
179,T0000000286,S001,1,2019-02-06 00:45:36,AS495117
180,T0000000287,S001,2,2019-02-06 00:55:08,TS457036
181,T0000000288,S005,1,2019-02-06 01:02:26,TS070681
182,T0000000289,S001,1,2019-02-06 01:42:16,GD390442
183,T0000000290,S003,1,2019-02-06 01:52:19,HD919452
184,T0000000291,S005,1,2019-02-06 03:19:54,HI988473
185,T0000000292,S005,1,2019-02-06 05:27:00,HI978950
186,T0000000293,S005,1,2019-02-06 06:48:19,GD021809
187,T0000000294,S005,1,2019-02-06 07:00:47,IK322778
188,T0000000295,S002,1,2019-02-06 07:08:19,IK322778
189,T0000000296,S001,2,2019-02-06 07:15:05,AS211705
190,T0000000297,S002,1,2019-02-06 08:20:44,GD841278
191,T0000000298,S005,1,2019-02-06 08:41:33,HI527630
192,T0000000299,S001,1,2019-02-06 09:12:13,GD378149
193,T0000000300,S001,1,2019-02-06 11:11:05,PL011886
194,T0000000301,S005,1,2019-02-06 11:12:55,HD981245
195,T0000000302,S004,1,2019-02-06 11:17:01,PL924048
196,T0000000303,S005,1,2019-02-06 11:50:08,IK433428
197,T0000000304,S001,1,2019-02-06 12:02:00,AS394423
198,T0000000305,S005,1,2019-02-06 12:38:23,OA707923
199,T0000000306,S002,1,2019-02-06 12:50:04,TS972175
200,T0000000307,S001,1,2019-02-06 12:51:08,GD288833
201,T0000000308,S005,1,2019-02-06 13:07:32,OA707923
202,T0000000309,S005,1,2019-02-06 13:29:00,OA923215
203,T0000000310,S005,1,2019-02-06 13:56:36,HI253328
204,T0000000311,S003,1,2019-02-06 14:09:04,OA071756
205,T0000000312,S001,2,2019-02-06 14:25:20,OA861572
206,T0000000313,S002,1,2019-02-06 16:27:32,HI024535
207,T0000000314,S001,1,2019-02-06 17:16:11,HD711126
208,T0000000315,S002,1,2019-02-06 17:24:41,PL683089
209,T0000000316,S004,1,2019-02-06 18:20:10,HD580454
210,T0000000317,S002,1,2019-02-06 18:27:26,HD028682
211,T0000000318,S002,1,2019-02-06 18:41:52,TS878534
212,T0000000319,S001,1,2019-02-06 19:28:13,PL807633
213,T0000000319,S002,2,2019-02-06 19:28:13,PL807633
214,T0000000320,S002,1,2019-02-06 19:30:48,AS841064
215,T0000000321,S002,1,2019-02-06 20:12:42,OA068305
216,T0000000322,S005,1,2019-02-06 22:33:31,PL299549
217,T0000000323,S004,1,2019-02-07 00:34:01,AS918754
218,T0000000324,S001,1,2019-02-07 01:51:09,TS483186
219,T0000000325,S002,1,2019-02-07 01:58:33,HI780705
220,T0000000326,S001,1,2019-02-07 02:35:04,AS546865
221,T0000000327,S002,1,2019-02-07 02:43:44,IK102369
222,T0000000328,S001,2,2019-02-07 02:59:52,HD722956
223,T0000000329,S004,1,2019-02-07 03:25:54,IK511263
224,T0000000330,S001,1,2019-02-07 04:01:57,HD285695
225,T0000000331,S001,1,2019-02-07 04:07:15,PL470875
226,T0000000332,S005,1,2019-02-07 04:19:43,OA963991
227,T0000000333,S001,2,2019-02-07 04:19:53,OA068305
228,T0000000334,S001,1,2019-02-07 05:19:40,GD912745
229,T0000000335,S002,1,2019-02-07 05:24:29,OA704361
230,T0000000336,S003,1,2019-02-07 05:45:02,HI501312
231,T0000000336,S003,1,2019-02-07 05:45:02,HI501312
232,T0000000337,S001,1,2019-02-07 05:56:42,GD001932
233,T0000000338,S002,1,2019-02-07 06:00:31,HI531972
234,T0000000339,S002,1,2019-02-07 06:01:54,IK014287
235,T0000000340,S002,3,2019-02-07 07:44:19,HD053694
236,T0000000341,S002,1,2019-02-07 07:56:05,AS866028
237,T0000000342,S001,1,2019-02-07 08:43:58,IK067006
238,T0000000343,S004,1,2019-02-07 08:54:17,IK345440
239,T0000000343,S002,1,2019-02-07 08:54:17,IK345440
240,T0000000344,S002,1,2019-02-07 09:45:43,AS237205
241,T0000000345,S003,1,2019-02-07 09:50:02,PL188221
242,T0000000346,S005,1,2019-02-07 11:04:36,GD727041
243,T0000000347,S005,1,2019-02-07 14:24:54,GD903830
244,T0000000348,S005,1,2019-02-07 15:12:34,HI702171
245,T0000000349,S001,1,2019-02-07 15:39:37,PL556767
246,T0000000350,S001,1,2019-02-07 15:58:41,HI348702
247,T0000000351,S004,1,2019-02-07 16:15:45,PL018417
248,T0000000352,S002,1,2019-02-07 16:28:31,GD244145
249,T0000000353,S002,1,2019-02-07 17:58:49,HI779743
250,T0000000354,S001,1,2019-02-07 18:37:37,GD624477
251,T0000000355,S002,1,2019-02-07 18:38:38,AS076940
252,T0000000356,S005,1,2019-02-07 18:44:48,IK844273
253,T0000000357,S002,2,2019-02-07 18:53:18,TS516522
254,T0000000358,S002,1,2019-02-07 19:38:52,OA607825
255,T0000000359,S002,2,2019-02-07 20:14:04,HD071461
256,T0000000360,S004,1,2019-02-07 20:18:40,AS574816
257,T0000000360,S005,1,2019-02-07 20:18:40,AS574816
258,T0000000361,S002,1,2019-02-07 20:18:46,AS015315
259,T0000000362,S001,1,2019-02-07 20:38:43,HD625291
260,T0000000363,S004,1,2019-02-07 20:52:41,OA308429
261,T0000000364,S004,1,2019-02-07 21:24:05,GD691243
262,T0000000365,S002,1,2019-02-07 21:38:09,PL407221
263,T0000000366,S002,1,2019-02-07 21:44:10,AS546865
264,T0000000367,S003,1,2019-02-07 21:50:24,AS185951
265,T0000000368,S001,2,2019-02-07 22:34:27,HI978950
266,T0000000369,S004,1,2019-02-07 22:46:10,HI050277
267,T0000000370,S002,1,2019-02-08 00:09:30,OA222039
268,T0000000371,S005,1,2019-02-08 00:16:58,HI550641
269,T0000000372,S002,1,2019-02-08 01:52:45,GD804496
270,T0000000373,S001,1,2019-02-08 03:24:28,HD453100
271,T0000000374,S004,1,2019-02-08 03:44:03,PL792014
272,T0000000375,S001,1,2019-02-08 04:34:16,AS670699
273,T0000000376,S001,1,2019-02-08 04:45:12,TS070681
274,T0000000377,S004,2,2019-02-08 05:13:51,IK942599
275,T0000000378,S001,1,2019-02-08 05:22:38,TS771339
276,T0000000379,S005,1,2019-02-08 05:44:40,TS369884
277,T0000000380,S003,1,2019-02-08 06:50:16,TS516522
278,T0000000381,S005,1,2019-02-08 07:31:14,IK152942
279,T0000000382,S002,1,2019-02-08 07:56:41,PL896084
280,T0000000383,S001,2,2019-02-08 08:53:07,HI830026
281,T0000000383,S001,1,2019-02-08 08:53:07,HI830026
282,T0000000383,S003,2,2019-02-08 08:53:07,HI830026
283,T0000000384,S004,1,2019-02-08 09:27:47,IK867288
284,T0000000385,S005,1,2019-02-08 09:33:08,IK244606
285,T0000000386,S005,1,2019-02-08 10:15:33,AS547635
286,T0000000387,S001,1,2019-02-08 10:24:39,AS886872
287,T0000000388,S001,2,2019-02-08 10:26:32,PL660410
288,T0000000389,S004,1,2019-02-08 12:11:08,IK943660
289,T0000000390,S005,2,2019-02-08 12:52:54,GD638254
290,T0000000391,S003,1,2019-02-08 13:10:17,IK822921
291,T0000000392,S004,1,2019-02-08 13:23:46,HI089467
292,T0000000393,S005,1,2019-02-08 14:02:03,PL598638
293,T0000000394,S001,1,2019-02-08 14:42:33,OA516337
294,T0000000395,S002,1,2019-02-08 14:46:55,HD467920
295,T0000000396,S001,1,2019-02-08 14:50:01,HI013029
296,T0000000397,S005,1,2019-02-08 14:52:00,PL013000
297,T0000000397,S001,1,2019-02-08 14:52:00,PL013000
298,T0000000397,S004,1,2019-02-08 14:52:00,PL013000
299,T0000000398,S001,1,2019-02-08 15:18:28,OA003684
300,T0000000399,S005,1,2019-02-08 15:25:56,AS077151
301,T0000000400,S005,1,2019-02-08 16:03:57,HD019297
302,T0000000401,S003,1,2019-02-08 16:04:17,OA721349
303,T0000000402,S004,1,2019-02-08 16:34:14,PL764756
304,T0000000403,S003,1,2019-02-08 16:43:22,TS971314
305,T0000000404,S001,2,2019-02-08 16:50:55,AS369586
306,T0000000405,S005,1,2019-02-08 16:56:06,TS810881
307,T0000000406,S003,1,2019-02-08 16:58:35,IK466573
308,T0000000407,S005,1,2019-02-08 17:50:17,GD956496
309,T0000000408,S004,1,2019-02-08 18:02:52,IK749861
310,T0000000409,S003,1,2019-02-08 19:03:56,AS568373
311,T0000000410,S002,2,2019-02-08 19:38:11,OA383490
312,T0000000411,S002,1,2019-02-08 19:42:33,PL573838
313,T0000000412,S001,1,2019-02-08 19:48:07,HD566204
314,T0000000413,S001,3,2019-02-08 20:32:18,AS700935
315,T0000000414,S005,1,2019-02-08 20:47:05,PL849752
316,T0000000415,S005,1,2019-02-08 21:19:23,HD509520
317,T0000000416,S002,1,2019-02-08 22:07:15,TS420499
318,T0000000417,S002,1,2019-02-08 22:11:31,HD994980
319,T0000000418,S004,1,2019-02-08 22:41:58,TS958195
320,T0000000419,S002,1,2019-02-08 23:09:11,HI791416
321,T0000000420,S001,4,2019-02-09 00:58:23,TS518383
322,T0000000421,S002,1,2019-02-09 01:21:24,AS076940
323,T0000000422,S001,2,2019-02-09 01:47:43,OA911257
324,T0000000423,S002,1,2019-02-09 02:13:36,GD850501
325,T0000000424,S004,1,2019-02-09 02:32:43,AS077151
326,T0000000425,S004,1,2019-02-09 02:59:56,TS597253
327,T0000000426,S002,1,2019-02-09 03:40:14,GD670693
328,T0000000427,S005,1,2019-02-09 03:40:55,PL352661
329,T0000000428,S003,1,2019-02-09 04:01:50,OA666190
330,T0000000429,S005,1,2019-02-09 04:21:35,HD719737
331,T0000000430,S003,1,2019-02-09 05:41:07,TS551344
332,T0000000431,S002,1,2019-02-09 05:58:59,IK661529
333,T0000000432,S004,1,2019-02-09 06:25:24,HD622485
334,T0000000433,S004,2,2019-02-09 06:48:21,IK423708
335,T0000000434,S001,1,2019-02-09 08:51:32,OA142331
336,T0000000435,S001,1,2019-02-09 08:59:14,AS518169
337,T0000000436,S004,1,2019-02-09 09:13:31,IK306874
338,T0000000437,S005,1,2019-02-09 10:55:22,HI687125
339,T0000000438,S001,2,2019-02-09 11:16:10,OA515865
340,T0000000439,S001,1,2019-02-09 11:40:40,PL301649
341,T0000000440,S003,1,2019-02-09 13:27:14,TS059971
342,T0000000441,S005,1,2019-02-09 13:55:05,OA116423
343,T0000000442,S002,1,2019-02-09 14:33:33,PL758046
344,T0000000443,S001,1,2019-02-09 15:35:12,IK254439
345,T0000000444,S005,1,2019-02-09 16:08:01,PL731207
346,T0000000445,S005,1,2019-02-09 16:54:38,TS614929
347,T0000000446,S003,2,2019-02-09 17:09:44,AS435092
348,T0000000447,S005,1,2019-02-09 17:32:05,OA829372
349,T0000000448,S005,2,2019-02-09 17:33:09,IK046372
350,T0000000449,S004,1,2019-02-09 17:59:41,AS359364
351,T0000000450,S002,1,2019-02-09 18:58:15,TS518383
352,T0000000451,S001,1,2019-02-09 19:03:03,TS724794
353,T0000000452,S004,2,2019-02-09 19:03:28,HI477055
354,T0000000453,S004,1,2019-02-09 19:46:53,PL792014
355,T0000000454,S002,2,2019-02-09 20:06:17,PL331522
356,T0000000454,S005,1,2019-02-09 20:06:17,PL331522
357,T0000000455,S005,1,2019-02-09 20:07:52,PL907705
358,T0000000456,S004,1,2019-02-09 21:17:37,PL659352
359,T0000000457,S004,1,2019-02-09 22:04:15,GD903830
360,T0000000458,S001,1,2019-02-09 23:27:44,HD853800
361,T0000000459,S003,1,2019-02-09 23:35:53,GD098828
362,T0000000460,S002,1,2019-02-10 00:02:21,TS098760
363,T0000000461,S004,2,2019-02-10 00:07:06,HI402688
364,T0000000462,S003,1,2019-02-10 01:10:50,TS062902
365,T0000000463,S004,1,2019-02-10 01:28:22,TS971314
366,T0000000464,S004,1,2019-02-10 03:10:48,TS810276
367,T0000000465,S002,1,2019-02-10 05:18:45,HD412914
368,T0000000466,S001,1,2019-02-10 05:33:24,HD014166
369,T0000000467,S001,1,2019-02-10 05:46:43,OA834676
370,T0000000468,S001,1,2019-02-10 06:08:51,HD019297
371,T0000000469,S004,1,2019-02-10 06:29:12,OA327340
372,T0000000470,S002,1,2019-02-10 07:19:23,AS230629
373,T0000000471,S001,1,2019-02-10 07:22:32,TS146087
374,T0000000472,S004,1,2019-02-10 07:25:27,OA861572
375,T0000000472,S004,1,2019-02-10 07:25:27,OA861572
376,T0000000473,S002,1,2019-02-10 07:29:43,GD841278
377,T0000000474,S001,3,2019-02-10 08:20:50,AS453084
378,T0000000475,S002,1,2019-02-10 08:24:37,IK624245
379,T0000000476,S001,1,2019-02-10 08:46:01,AS236198
380,T0000000477,S005,1,2019-02-10 09:12:42,PL729017
381,T0000000478,S005,1,2019-02-10 09:37:50,HI360754
382,T0000000479,S002,1,2019-02-10 10:50:08,AS015315
383,T0000000479,S005,1,2019-02-10 10:50:08,AS015315
384,T0000000480,S004,1,2019-02-10 10:54:12,AS369586
385,T0000000481,S001,3,2019-02-10 11:36:02,OA963991
386,T0000000482,S005,1,2019-02-10 12:15:32,HD242691
387,T0000000483,S002,1,2019-02-10 12:51:49,AS924898
388,T0000000484,S002,1,2019-02-10 13:45:16,TS457036
389,T0000000485,S005,1,2019-02-10 14:01:35,PL433500
390,T0000000486,S001,1,2019-02-10 14:08:21,GD316957
391,T0000000487,S002,1,2019-02-10 15:18:44,PL891875
392,T0000000488,S003,1,2019-02-10 15:28:09,GD025393
393,T0000000489,S003,1,2019-02-10 16:48:46,AS230629
394,T0000000490,S001,2,2019-02-10 16:52:42,TS146087
395,T0000000491,S001,1,2019-02-10 17:05:39,PL210567
396,T0000000492,S001,1,2019-02-10 18:08:52,GD518514
397,T0000000493,S001,4,2019-02-10 18:21:42,AS369586
398,T0000000494,S001,2,2019-02-10 19:29:55,TS855513
399,T0000000495,S001,1,2019-02-10 21:54:26,PL417753
400,T0000000496,S004,1,2019-02-10 22:33:48,IK743897
401,T0000000497,S001,2,2019-02-10 23:04:00,HI821087
402,T0000000498,S002,2,2019-02-10 23:33:52,HD076496
403,T0000000499,S004,2,2019-02-10 23:40:15,HI237883
404,T0000000500,S003,1,2019-02-10 23:58:38,TS372874
405,T0000000501,S004,1,2019-02-11 01:45:13,HD827887
406,T0000000502,S003,1,2019-02-11 01:46:08,IK593765
407,T0000000503,S002,1,2019-02-11 02:13:29,PL470875
408,T0000000504,S002,1,2019-02-11 04:51:13,TS518383
409,T0000000505,S005,2,2019-02-11 05:07:34,IK688052
410,T0000000506,S002,3,2019-02-11 05:08:34,GD241254
411,T0000000507,S002,1,2019-02-11 05:24:28,AS453084
412,T0000000508,S004,1,2019-02-11 05:54:23,PL303162
413,T0000000509,S001,1,2019-02-11 08:00:40,OA388010
414,T0000000510,S004,1,2019-02-11 09:13:44,HD459783
415,T0000000511,S002,1,2019-02-11 09:50:12,AS547635
416,T0000000512,S003,1,2019-02-11 10:02:34,TS419694
417,T0000000513,S004,1,2019-02-11 10:28:04,GD649455
418,T0000000513,S004,1,2019-02-11 10:28:04,GD649455
419,T0000000513,S005,1,2019-02-11 10:28:04,GD649455
420,T0000000514,S004,1,2019-02-11 12:16:14,IK736758
421,T0000000515,S005,1,2019-02-11 12:19:08,AS924898
422,T0000000516,S001,2,2019-02-11 12:22:40,GD892565
423,T0000000517,S005,1,2019-02-11 12:39:22,OA052506
424,T0000000518,S002,2,2019-02-11 12:51:29,GD227601
425,T0000000519,S005,1,2019-02-11 13:10:58,AS230629
426,T0000000520,S001,2,2019-02-11 13:39:29,TS516522
427,T0000000521,S001,1,2019-02-11 13:47:20,HD719737
428,T0000000522,S001,1,2019-02-11 14:38:05,AS211705
429,T0000000523,S002,2,2019-02-11 15:20:11,TS493191
430,T0000000524,S001,1,2019-02-11 15:25:52,AS642796
431,T0000000525,S002,2,2019-02-11 15:38:05,PL494564
432,T0000000526,S001,1,2019-02-11 15:53:17,TS179639
433,T0000000527,S004,1,2019-02-11 16:27:24,HD471103
434,T0000000528,S003,1,2019-02-11 16:36:04,AS921368
435,T0000000529,S001,3,2019-02-11 17:57:35,HI303118
436,T0000000530,S001,2,2019-02-11 20:36:15,GD521924
437,T0000000531,S004,1,2019-02-11 21:56:57,AS404195
438,T0000000532,S003,1,2019-02-11 22:13:57,PL331522
439,T0000000533,S002,1,2019-02-11 23:14:31,TS808488
440,T0000000534,S004,1,2019-02-12 00:09:35,GD558480
441,T0000000535,S003,1,2019-02-12 00:45:55,TS365803
442,T0000000536,S002,1,2019-02-12 00:49:42,HI089467
443,T0000000537,S005,1,2019-02-12 01:25:18,IK912733
444,T0000000538,S004,1,2019-02-12 02:13:51,HD186795
445,T0000000539,S002,1,2019-02-12 02:30:37,HI654320
446,T0000000540,S005,1,2019-02-12 03:04:04,HD778015
447,T0000000541,S005,1,2019-02-12 03:27:54,PL407221
448,T0000000542,S004,1,2019-02-12 03:55:32,HD430217
